Name,Platform,Year,Genre,Publisher
Ogre Battle 64: Person of Lordly Caliber,N64,1999,Role-Playing,Nintendo
Superman: The New Superman Adventures,N64,1999,Action,Titus
UEFA Euro 2008 Austria-Switzerland,PS3,2008,Sports,Electronic Arts
The Terminator: Dawn of Fate,PS2,2002,Action,Atari
The LEGO Movie Videogame,PSV,2014,Action,Warner Bros. Interactive Entertainment
Rogue Galaxy: Director's Cut,PS2,2007,Role-Playing,Sony Computer Entertainment
Armored Core,PS,1997,Simulation,Sony Computer Entertainment
Monster Trucks Mayhem,Wii,2009,Racing,Zoo Games
Winter Sports 2: The Next Challenge,Wii,2008,Sports,RTL
Green Day: Rock Band,X360,2010,Misc,MTV Games
Densha De Go! 2,PS,1999,Simulation,Taito
Transformers: Fall of Cybertron,PS3,2012,Action,Activision
Call of Duty: Advanced Warfare,PC,2014,Shooter,Activision
Disney Princess: Enchanting Storybooks,Wii,2011,Misc,THQ
Monopoly Streets,PS3,2010,Misc,Electronic Arts
Band Hero,PS2,2009,Misc,Activision
The Wonderful 101,WiiU,2013,Action,Nintendo
No More Heroes 2: Desperate Struggle,Wii,2010,Action,Rising Star Games
Battlefield 2: Modern Combat,X360,2006,Shooter,Electronic Arts
Armored Core 2: Another Age,PS2,2001,Simulation,Metro 3D
Buzz! Junior: Jungle Party,PS2,2006,Misc,Sony Computer Entertainment
Mortal Kombat: Deadly Alliance,GC,2002,Fighting,Midway Games
Marvel: Ultimate Alliance,Wii,2006,Role-Playing,Activision
NBA 2K11,PS2,2010,Action,Take-Two Interactive
AKB1/48: Idol to Koishitara...,PSP,2010,Misc,Namco Bandai Games
Pro Pinball,PS,1996,Misc,Empire Interactive
'98 Koshien,PS,1998,Sports,Magical Company
NBA 2K9,PS2,2008,Sports,Take-Two Interactive
Yu-Gi-Oh! The Eternal Duelist Soul (JP sales),GBA,2001,Misc,Konami Digital Entertainment
Speed Racer: The Videogame,Wii,2008,Racing,Warner Bros. Interactive Entertainment
Naughty Bear,X360,2010,Action,505 Games
Littlest Pet Shop,Wii,2008,Simulation,Electronic Arts
TNA iMPACT!,PS3,2008,Fighting,Midway Games
Just Dance Kids 2,X360,2011,Misc,Ubisoft
Duke Nukem Forever,PC,2011,Shooter,Take-Two Interactive
Hatsune Miku: Project Diva 2nd,PSP,2010,Misc,Sega
Marvel: Ultimate Alliance 2,PS2,2009,Role-Playing,Activision
Mario no Super Picross,SNES,1995,Puzzle,Nintendo
Ed; Edd n Eddy: The Mis-Edventures,PS2,2005,Platform,Midway Games
Jikkyou Powerful Pro Yakuu '94,SNES,1994,Sports,Konami Digital Entertainment
Disney's Tarzan Untamed,PS2,2001,Platform,Ubisoft
Borderlands: The Handsome Collection,XOne,2015,Shooter,Take-Two Interactive
The Gunstringer,X360,2011,Shooter,Microsoft Game Studios
Knockout Kings 2001,PS,2000,Fighting,Electronic Arts
From Russia With Love,PS2,2005,Action,Electronic Arts
FIFA Soccer 13,PC,2012,Action,Electronic Arts
Asura's Wrath,PS3,2012,Action,Capcom
Avatar: The Game,DS,2009,Action,Ubisoft
My Virtual Tutor: Reading Adventure First to Second Grade,DS,2009,Misc,Mentor Interactive
Minority Report: Everybody Runs,PS2,2002,Action,Activision
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,PS,2003,Misc,Sony Computer Entertainment
NFL GameDay 2002,PS,2001,Sports,Sony Computer Entertainment
Pengo,2600,1983,Adventure,Atari
Disney Sing It! High School Musical 3: Senior Year,PS3,2008,Misc,Disney Interactive Studios
Story of Seasons,3DS,2014,Simulation,Nintendo
Beowulf: The Game,X360,2007,Action,Ubisoft
Mouse Trap,2600,1981,Action,Coleco
Super Monkey Ball: Step & Roll,Wii,2010,Action,Sega
Hatsune Miku: Project Diva F 2nd,PSV,2014,Misc,Sega
Overlord,X360,2007,Strategy,Codemasters
Tak and the Power of Juju,GC,2003,Platform,THQ
Transformers: The Game (XBox 360; PS2; PS3; Wii & PC Versions),PS3,2007,Action,Activision
Sega Superstars Tennis,PS3,2008,Sports,Sega
LEGO Harry Potter: Years 5-7,3DS,N/A,Action,Warner Bros. Interactive Entertainment
Dragon Quest X,WiiU,2013,Role-Playing,Square Enix
Wall-E,PS3,2008,Platform,THQ
Medarot: Kabuto / Kuwagata Version,GB,1997,Role-Playing,Imagineer
NBA 2K10,PS2,2009,Sports,Take-Two Interactive
Defender,PS2,2002,Misc,Midway Games
NFL GameDay 2003,PS2,N/A,Sports,Unknown
WipeOut 3 The Game,Wii,2012,Action,Activision
Taiko no Tatsujin Wii: Dodon to 2 Yome!,Wii,2009,Misc,Namco Bandai Games
Thief (2014),PS3,2014,Action,Square Enix
Congo Bongo,2600,1982,Action,Sega
Gauntlet: Seven Sorrows,PS2,2005,Role-Playing,Midway Games
Harry Potter: Quidditch World Cup,GC,2003,Sports,Electronic Arts
Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo
Yu-Gi-Oh! 5D's Stardust Accelerator: World Championship 2009,DS,2009,Action,Konami Digital Entertainment
Warriors Orochi 2 (JP sales),PS2,2008,Action,Tecmo Koei
WWE SmackDown! vs. RAW 2006,PSP,2005,Fighting,THQ
The Chronicles of Narnia: Prince Caspian,PS2,2008,Action,Disney Interactive Studios
The Incredibles: Rise of the Underminer,GBA,2005,Action,THQ
Pet in TV,PS,1997,Strategy,Sony Computer Entertainment
Battalion Wars,GC,2005,Strategy,Nintendo
NBA ShootOut 2000,PS,1999,Sports,989 Studios
Power Rangers: Dino Thunder,GC,2004,Action,THQ
Rocksmith 2014,XOne,2014,Misc,Ubisoft
Samurai Shodown,SNES,1994,Fighting,Takara
NHL 15,XOne,2014,Sports,Electronic Arts
TMNT,Wii,2007,Action,Ubisoft
Final Fantasy Crystal Chronicles: The Crystal Bearers,Wii,2009,Action,Square Enix
Cabela's Big Game Hunter 2010,PS3,2009,Sports,Activision Value
EA Sports UFC 2,XOne,2016,Sports,Electronic Arts
Fighting Vipers,SAT,1995,Fighting,Sega
NCAA GameBreaker 2000,PS,1999,Sports,989 Studios
Iron Man 2,PS3,2010,Action,Sega
The Legend of Spyro: Dawn of the Dragon,PS2,2008,Platform,Vivendi Games
AKB1/48: Idol to Guam de Koishitara...,PSP,2011,Misc,Namco Bandai Games
RR64: Ridge Racer 64,N64,1999,Racing,Nintendo
Top Gear Rally,N64,1997,Racing,Kemco
NFL Quarterback Club 2000,N64,1999,Sports,Acclaim Entertainment
Mortal Kombat Mythologies: Sub-Zero,N64,1997,Fighting,Midway Games
18 Wheeler: American Pro Trucker,PS2,2001,Racing,Acclaim Entertainment
Atari Anthology,PS2,2004,Misc,Atari
Bugs Bunny: Lost in Time,PS,1999,Platform,Infogrames
NBA Jam,X360,2010,Sports,Electronic Arts
Sherlock Holmes: The Mystery of the Mummy,DS,2009,Adventure,Focus Home Interactive
Hot Wheels: Beat That!,PS2,2007,Racing,Activision
MLB 2006,PS2,2005,Sports,Sony Computer Entertainment
Star Wars The Clone Wars: Republic Heroes,X360,2009,Action,LucasArts
Brunswick Pro Bowling,PS2,2007,Sports,505 Games
Mafia II,PC,2010,Action,Take-Two Interactive
Rocket Power: Dream Scheme,GBA,2001,Action,THQ
SpongeBob's Truth or Square (US sales),Wii,2009,Action,THQ
MX vs. ATV Unleashed,XB,2005,Racing,THQ
Rampage: Total Destruction,GC,2006,Action,Midway Games
Planet 51,DS,2009,Action,Sega
The Urbz: Sims in the City,GC,2004,Simulation,Electronic Arts
Road Rash: Jailbreak,PS,1999,Racing,Electronic Arts
Mother 3,GBA,2006,Role-Playing,Nintendo
Nicktoons: Freeze Frame Frenzy,GBA,2004,Action,THQ
Diner Dash: Sizzle & Serve,DS,2007,Puzzle,Eidos Interactive
Rapala Pro Bass Fishing 2010,X360,2010,Sports,Activision
Legends of WrestleMania,X360,2009,Fighting,THQ
Wii Sports Club,WiiU,2014,Sports,Nintendo
Tomb Raider: Anniversary,X360,2007,Action,Eidos Interactive
You Don't Know Jack,PS,1999,Misc,Vivendi Games
Mystery Dungeon: Shiren the Wanderer,SNES,1995,Role-Playing,ChunSoft
Sonic Lost World,WiiU,2013,Platform,Sega
Condemned 2: Bloodshot,PS3,2008,Action,Sega
Silent Hill: Homecoming,PS3,N/A,Action,Konami Digital Entertainment
Star Wars: Clone Wars,GC,2002,Shooter,Activision
NBA Live 2002,XB,2001,Sports,Electronic Arts
Boku no Natsuyasumi,PS,2000,Adventure,Sony Computer Entertainment
Armored Core V,PS3,2012,Simulation,Namco Bandai Games
I-Ninja,PS2,2003,Platform,Sony Computer Entertainment
Command & Conquer,PS,1996,Strategy,Virgin Interactive
Harvest Moon: Save the Homeland,PS2,N/A,Simulation,Unknown
NBA Jam,PS3,2010,Sports,Electronic Arts
Mass Effect 2,PC,2010,Role-Playing,Electronic Arts
SD Gundam G Generation Seed,PS2,2004,Strategy,Namco Bandai Games
Call of Duty: Finest Hour,GC,2004,Shooter,Activision
Scooby-Doo! and the Spooky Swamp,DS,2010,Action,Warner Bros. Interactive Entertainment
Naruto: Path of the Ninja,DS,2007,Role-Playing,D3Publisher
Rise of the Tomb Raider,X360,2015,Adventure,Square Enix
Hitman: Blood Money,X360,2006,Action,Eidos Interactive
Tales of Phantasia,SNES,1995,Role-Playing,Namco Bandai Games
Alpha Protocol,X360,2010,Role-Playing,Sega
Suzuki TT Superbikes,PS2,2005,Racing,Jester Interactive
Rumble Roses,PS2,2004,Fighting,Konami Digital Entertainment
Just Dance 2014,PS3,2013,Misc,Ubisoft
Fantastic Four: Rise of the Silver Surfer,PS2,2007,Action,Take-Two Interactive
Ultimate Spider-Man,XB,2005,Action,Activision
GRID 2,PS3,2013,Racing,Codemasters
LEGO The Lord of the Rings,3DS,2012,Action,Warner Bros. Interactive Entertainment
Juiced 2: Hot Import Nights,PS2,2007,Racing,THQ
Skylanders: SuperChargers,PS3,2015,Action,Activision
NHL 99,N64,1998,Sports,Electronic Arts
NBA 2K10,Wii,2009,Sports,Take-Two Interactive
Dungeon Siege III,PS3,2011,Role-Playing,Square Enix
Viking: Battle for Asgard,PS3,2008,Action,Sega
Brunswick Pro Bowling,Wii,2007,Sports,505 Games
Monster Jam: Urban Assault,DS,2008,Racing,Activision
Danball Senki,PSP,2011,Role-Playing,Level 5
NASCAR Heat,PS,2000,Racing,Hasbro Interactive
Bloody Roar,PS,1997,Fighting,Virgin Interactive
Bump 'n' Jump,2600,1982,Racing,Mattel Interactive
Mobile Suit Gundam: Lost War Chronicles,PS2,2002,Shooter,Namco Bandai Games
Disney's Brother Bear,GBA,2003,Action,THQ
Naruto: Clash of Ninja Revolution 2,Wii,2008,Fighting,Tomy Corporation
NBA Live 09,PS2,2008,Sports,Electronic Arts
LEGO Star Wars III: The Clone Wars,PSP,2011,Action,LucasArts
The House of The Dead III,XB,2002,Shooter,Sega
Rune Factory: Frontier,Wii,2008,Role-Playing,Rising Star Games
Fire Emblem: Fuuin no Tsurugi,GBA,2002,Role-Playing,Nintendo
SpongeBob's Truth or Square (US sales),PSP,2009,Action,THQ
FIFA 12,3DS,2011,Sports,Electronic Arts
Ener-G: Gym Rockets,DS,2008,Sports,Ubisoft
The Darkness II,X360,2012,Shooter,Take-Two Interactive
NBA Live 09,PSP,2008,Sports,Electronic Arts
Laser Blast,2600,1981,Action,Activision
Dancing with the Stars: We Dance!,DS,2008,Misc,Activision
LocoRoco,PSP,2006,Platform,Sony Computer Entertainment
Thrasher Presents: Skate and Destroy,PS,1998,Sports,Take-Two Interactive
Are You Smarter than a 5th Grader? Make the Grade,DS,2008,Misc,THQ
Donkey Konga 2,GC,2004,Misc,Nintendo
Just Dance 2014,PS4,2013,Misc,Ubisoft
Metal Gear Solid: The Legacy Collection,PS3,2013,Adventure,Konami Digital Entertainment
Tear Ring Saga Yutona Eiyuu Senki,PS,2001,Role-Playing,Enterbrain
Project X Zone,3DS,2012,Role-Playing,Namco Bandai Games
Red Faction: Armageddon,X360,2011,Shooter,THQ
Wipeout 2048,PSV,2012,Racing,Sony Computer Entertainment
Need for Speed: Nitro,DS,2009,Racing,Electronic Arts
Mystery Case Files: The Malgrave Incident,Wii,2011,Adventure,Nintendo
Yoshi Touch & Go,DS,2005,Platform,Nintendo
EA Sports Active 2,X360,2010,Sports,Electronic Arts
Combat of Giants: Dinosaurs 3D,3DS,2011,Strategy,Ubisoft
Taiko no Tatsujin Wii: Ketteiban,Wii,2011,Misc,Namco Bandai Games
Age of Empires III,PC,2005,Strategy,Microsoft Game Studios
SSX 3,XB,2003,Sports,Electronic Arts
MLB 15: The Show,PS3,2015,Sports,Sony Computer Entertainment
Madden NFL 2005,GBA,2004,Sports,Electronic Arts
All-Star Baseball 2000,N64,1999,Sports,Acclaim Entertainment
Custom Robo V2,N64,2000,Fighting,Nintendo
Extreme-G: XG2,N64,1998,Racing,Acclaim Entertainment
BattleTanx: Global Assault,N64,1999,Action,3DO
Robert Ludlum's The Bourne Conspiracy,PS3,N/A,Action,Vivendi Games
Chibi-Robo! Plug into Adventure!,GC,2005,Adventure,Nintendo
Dawn of Discovery,PC,2009,Simulation,Ubisoft
Jampack Winter 2003 (RP-T),PS2,2003,Misc,Sony Computer Entertainment
Dancing with the Stars: We Dance!,Wii,2008,Misc,Activision
Kengo: Master of Bushido,PS2,2000,Fighting,Ubisoft
Blood Omen 2,PS2,2002,Action,Eidos Interactive
Sesame Street: Elmo's A-to-Zoo Adventure,Wii,2010,Misc,Warner Bros. Interactive Entertainment
Skylanders Giants,WiiU,2012,Action,Activision
Just Dance 4,WiiU,2012,Misc,Ubisoft
Super Fire ProWrestling,SNES,1991,Fighting,Human Entertainment
Cabela's Dangerous Hunts 2,PS2,2005,Sports,Activision
Marvel: Ultimate Alliance,PS3,2006,Role-Playing,Activision
SpongeBob vs The Big One: Beach Party Cook Off,DS,2009,Adventure,THQ
MotoGP 08,PS3,2008,Racing,Capcom
Imagine: Party Babyz,Wii,2008,Simulation,Ubisoft
Chessmaster,PS2,2003,Misc,Ubisoft
Tiger Woods PGA Tour 14,PS3,2013,Sports,Electronic Arts
Fatal Fury,SNES,1992,Fighting,Takara
Farming Simulator 2013,X360,2013,Simulation,Focus Home Interactive
From TV Animation One Piece: Yume no Lufy Kaizokudan Tanjou!,GB,2001,Role-Playing,Banpresto
The Dog Island,Wii,2007,Adventure,Ubisoft
Madden NFL Football,3DS,2011,Sports,Electronic Arts
The Sims 2,GBA,2005,Simulation,Electronic Arts
Ice Age 2: The Meltdown,PS2,2006,Platform,Vivendi Games
MLB 14: The Show,PS3,2014,Sports,Sony Computer Entertainment America
Super Famista 3,SNES,1994,Sports,Namco Bandai Games
Auto Modellista,PS2,2002,Racing,Capcom
Tom Clancy's Ghost Recon 2: Summit Strike,XB,2005,Shooter,Ubisoft
Junior Classic Games,DS,2009,Misc,Avanquest
Hooked! Again: Real Motion Fishing,Wii,2009,Sports,505 Games
Tiger Woods PGA Tour 08,PS2,2007,Sports,Electronic Arts
Karaoke Revolution Presents American Idol Encore,PS2,2008,Misc,Konami Digital Entertainment
Airlock,2600,1981,Action,Data Age
Tokimeki Memorial 2,PS,1999,Simulation,Konami Digital Entertainment
Samurai Warriors Chronicles,3DS,2011,Action,Tecmo Koei
Tomb Raider: Legend,X360,2006,Action,Eidos Interactive
Ice Age: Dawn of the Dinosaurs,DS,2009,Action,Activision
Dance Party: Pop Hits,Wii,2009,Misc,Nordic Games
Harry Potter: Quidditch World Cup,GBA,2003,Sports,Electronic Arts
Jam Sessions: Sing and Play Guitar (US sales),DS,2007,Misc,Ubisoft
Saints Row IV,PS4,2015,Action,Deep Silver
Evil Dead: Fistfull of Boomstick,PS2,2003,Action,THQ
One Piece: Unlimited World Red,3DS,2013,Action,Namco Bandai Games
Phantasy Star Ø,DS,2008,Role-Playing,Sega
Triple Play 97,PS,1996,Sports,Electronic Arts Victor
Virtua Tennis 2009,PS3,2009,Sports,Sega
Super Soccer,SNES,1991,Sports,Nintendo
Shin Megami Tensei: Nocturne,PS2,2003,Role-Playing,Ghostlight
Wario Land II (GBC),GB,1998,Platform,Nintendo
San Francisco Rush: Extreme Racing,PS,1997,Racing,GT Interactive
Dragon's Crown,PSV,2013,Role-Playing,Nippon Ichi Software
Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,1998,Racing,Human Entertainment
Imagine: Salon Stylist,DS,2009,Simulation,Ubisoft
ESPN College Hoops 2K5,XB,2004,Sports,Sega
Looney Tunes: Acme Arsenal,PS2,2007,Action,Warner Bros. Interactive Entertainment
Cabela's Dangerous Hunts 2009,Wii,2008,Sports,Activision Value
Fragile Dreams: Farewell Ruins of the Moon,Wii,2009,Role-Playing,Rising Star Games
SD Gundam G Generation Spirits,PS2,2007,Strategy,Namco Bandai Games
Batman: Arkham City,WiiU,2012,Action,Warner Bros. Interactive Entertainment
Disney Sing It,PS3,2008,Misc,Disney Interactive Studios
Peppa Pig: The Game,Wii,2009,Misc,Pinnacle
God Eater 2: Rage Burst,PSV,2015,Role-Playing,Namco Bandai Games
Get Fit with Mel B,PS3,2010,Sports,Black Bean Games
The Cat in the Hat,GBA,2005,Platform,Jack of All Games
Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,Fighting,Namco Bandai Games
NFL GameDay 2002,PS2,2001,Sports,Sony Computer Entertainment
Turok: Evolution,GC,2002,Shooter,Acclaim Entertainment
Destiny: The Taken King,X360,2015,Shooter,Activision
Tamagotchi Connection: Corner Shop 3,DS,2007,Simulation,Atari
Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002,Strategy,Namco Bandai Games
Ice Age,GBA,2002,Action,Ubisoft
Sega Superstars Tennis,PS2,2008,Sports,Sega
Headhunter,PS2,2002,Action,Sega
Skate,PS3,2007,Sports,Electronic Arts
Shin Megami Tensei: Devil Summoner,SAT,1995,Role-Playing,Atlus
Raving Rabbids: Travel in Time 3D,3DS,2011,Platform,Ubisoft
NCAA Football 08,PS3,2007,Sports,Electronic Arts
Marvel Nemesis: Rise of the Imperfects,GC,2005,Fighting,Electronic Arts
NHL 15,PS3,2014,Sports,Electronic Arts
ESPN Extreme Games,PS,1994,Sports,Sony Computer Entertainment
Forza Horizon 3,XOne,2016,Racing,Microsoft Game Studios
Overlord: Dark Legend,Wii,2009,Action,Codemasters
Ninja: Shadow of Darkness,PS,1998,Action,Eidos Interactive
SD Gundam G Generation-F,PS,2000,Strategy,Namco Bandai Games
Bratz: Rock Angelz,PS2,2005,Misc,THQ
FlatOut,PS2,2004,Racing,Empire Interactive
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,2013,Adventure,Capcom
SSX 3,GC,2003,Sports,Electronic Arts
NCAA Football 11,PS2,2010,Sports,Electronic Arts
Tales of Zestiria,PS4,2015,Role-Playing,Namco Bandai Games
Lilo & Stitch 2: Hämsterviel Havoc,GBA,2004,Action,Disney Interactive Studios
Metal Gear Solid: Snake Eater 3D,3DS,2012,Action,Konami Digital Entertainment
Risk: Global Domination,PS2,2003,Strategy,Atari
Elite Beat Agents,DS,2006,Misc,Nintendo
NBA 2K7,PS3,2006,Sports,Take-Two Interactive
Mobile Suit Gundam version 2.0,PS,1996,Action,Namco Bandai Games
Grandia Xtreme,PS2,2002,Role-Playing,Enix Corporation
Silent Scope,PS2,2000,Shooter,Konami Digital Entertainment
Final Fantasy Adventure,GB,1991,Role-Playing,SquareSoft
Virtua Tennis 2009,Wii,2009,Sports,Sega
Dora The Explorer: Dora Saves the Snow Princess,PS2,2008,Platform,Take-Two Interactive
The Incredible Hulk,PS2,2008,Action,Sega
Mercenaries 2: World in Flames,PS2,2008,Shooter,Electronic Arts
Cabela's Big Game Hunter 2012,Wii,2011,Sports,Activision
EA Sports MMA,PS3,2010,Fighting,Electronic Arts
Iron Man 2,PSP,2010,Action,Sega
DiRT 2,Wii,2009,Racing,Codemasters
Tokimeki Memorial: Forever with You,SAT,1996,Simulation,Konami Digital Entertainment
MediEvil II,PS,1999,Action,Sony Computer Entertainment
Guitar Hero On Tour: Modern Hits,DS,2009,Misc,Activision
Hunter: The Reckoning,XB,2002,Action,Interplay
MX vs. ATV Untamed,PS2,2007,Racing,THQ
Rogue Trip: Vacation 2012,PS,1998,Racing,GT Interactive
Dai-4-Ji Super Robot Taisen,SNES,1995,Strategy,Banpresto
Tiger Woods PGA Tour 08,PSP,2007,Sports,Electronic Arts
Pokemon Channel,GC,2003,Adventure,Nintendo
Taiko no Tatsujin Portable DX,PSP,2011,Misc,Namco Bandai Games
Etrian Odyssey IV: Legends of the Titans,3DS,2012,Role-Playing,Atlus
Moto Racer World Tour,PS,2000,Racing,Sony Computer Entertainment
NCAA Final Four 2000,PS,1999,Sports,989 Sports
Scribblenauts: Unlimited,WiiU,2012,Action,Warner Bros. Interactive Entertainment
FIFA 17,PS3,2016,Sports,Electronic Arts
Saints Row: The Third,PC,2011,Action,THQ
Just Dance 2015,PS4,2014,Misc,Ubisoft
Madagascar: Escape 2 Africa,PS2,2008,Action,Activision
ZhuZhu Pets: Featuring The Wild Bunch,Wii,2010,Simulation,Activision
Hangman,2600,N/A,Puzzle,Atari
Petz Rescue: Wildlife Vet,DS,2008,Simulation,Ubisoft
Green Day: Rock Band,Wii,2010,Misc,MTV Games
Gravitar,2600,1982,Action,Atari
Monster Jam: Path of Destruction,DS,2010,Racing,Activision
Toukiden: The Age of Demons,PSV,2013,Action,Tecmo Koei
EyeToy Play 2,PS2,2004,Misc,Sony Computer Entertainment
Dance Dance Revolution Ultramix 3,XB,2005,Simulation,Konami Digital Entertainment
Mobile Suit Gundam: Extreme VS Full Boost,PS3,2014,Fighting,Namco Bandai Games
WWE SmackDown vs. Raw 2011,PS2,2010,Fighting,THQ
Need for Speed: Hot Pursuit,PC,2010,Racing,Electronic Arts
The Legend of Spyro: A New Beginning,DS,2006,Platform,Vivendi Games
Pro Evolution Soccer 2011 3D,3DS,2011,Sports,Konami Digital Entertainment
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight
Dragon Ball Z: Attack of the Saiyans,DS,2009,Role-Playing,Namco Bandai Games
Marvel Super Hero Squad,Wii,2009,Fighting,THQ
The House of the Dead: Overkill - Extended Cut,PS3,2011,Shooter,Sega
The Golden Compass,PSP,N/A,Action,Sega
Harry Potter and the Prisoner of Azkaban,GC,2004,Action,Electronic Arts
Quake 4,X360,2005,Shooter,Activision
Petz Rescue: Ocean Patrol,DS,2008,Adventure,Ubisoft
Solaris,2600,1986,Shooter,Atari
Puppy Palace,DS,2008,Simulation,Ubisoft
Super Dragon Ball Z,PS2,2006,Fighting,Atari
Paws & Claws: Pampered Pets,DS,2009,Simulation,THQ
ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft
Alien: Isolation,PS3,2014,Shooter,Sega
Naruto Shippuden: Ninja Destiny 2,DS,2008,Fighting,Takara Tomy
SAW,PS3,2009,Action,Konami Digital Entertainment
The Legend of Spyro: The Eternal Night,DS,2007,Platform,Vivendi Games
Tobal 2,PS,1997,Fighting,SquareSoft
Digging for Dinosaurs,DS,2010,Action,Scholastic Inc.
Trivial Pursuit,X360,2009,Misc,Electronic Arts
Tiger Woods PGA Tour 09,PS2,2008,Sports,Electronic Arts
Ultimate Spider-Man,GC,2005,Action,Activision
Life is Strange,PS4,2016,Adventure,Square Enix
Kingdom Under Fire: Circle of Doom,X360,2007,Role-Playing,Microsoft Game Studios
NBA Inside Drive 2002,XB,2002,Sports,Microsoft Game Studios
The BIGS,Wii,2007,Sports,Take-Two Interactive
Major League Baseball 2K6,X360,2006,Sports,Spike
Kileak: The DNA Imperative,PS,1994,Shooter,Sony Computer Entertainment
Petz: Catz 2,PS2,2006,Simulation,Ubisoft
Mini Ninjas,Wii,2009,Action,Eidos Interactive
Tom Clancy's The Division,PC,2016,Shooter,Ubisoft
Phantasy Star Portable 2: Infinity,PSP,2011,Role-Playing,Sega
Hell's Kitchen: The Game,DS,2008,Simulation,Ubisoft
LEGO Dimensions,XOne,2015,Action,Warner Bros. Interactive Entertainment
Monsters; Inc. Scream Arena,GC,2002,Platform,THQ
Reel Fishing III,PS2,2003,Sports,Natsume
Cabela's Deer Hunt 2005 Season,PS2,2004,Sports,Activision
Prince of Persia: The Forgotten Sands,PSP,2010,Action,Ubisoft
Rampage: Total Destruction,PS2,2006,Action,Midway Games
High Heat Major League Baseball 2003,PS2,2002,Sports,3DO
Madden NFL 11,PSP,2010,Sports,Electronic Arts
Super Formation Soccer 94,SNES,1994,Sports,Human Entertainment
Panzer Dragoon,SAT,1995,Shooter,Sega
Tiger Woods PGA Tour 12: The Masters,Wii,2011,Sports,Electronic Arts
Rage,PC,2011,Shooter,Bethesda Softworks
Spider-Man: Friend or Foe,PS2,2007,Action,Activision
Yarudora Series Vol.1: Double Cast,PS,1998,Adventure,Sony Computer Entertainment
Dungeon Siege III,X360,2011,Role-Playing,Square Enix
Juiced 2: Hot Import Nights,PSP,2007,Racing,THQ
Rec Room Games,Wii,2009,Sports,Destineer
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,N64,2000,Role-Playing,ChunSoft
Turok: Rage Wars,N64,1999,Shooter,Acclaim Entertainment
Scooby-Doo! Classic Creep Capers,N64,2000,Action,THQ
Dragonfire,2600,1981,Action,Imagic
Custom Robo,GC,2004,Role-Playing,Nintendo
FIFA Soccer 13,PSP,2012,Action,Electronic Arts
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,Strategy,Electronic Arts
Harry Potter and the Order of the Phoenix,PSP,2007,Action,Electronic Arts
Medieval II: Total War Gold Edition,PC,2008,Strategy,Sega
Pac-Man World 2,GC,2002,Action,Nintendo
Kotoba no Puzzle: Mojipittan DS,DS,2007,Puzzle,Namco Bandai Games
Barbie Horse Adventures: Blue Ribbon Race,GBA,2003,Sports,Knowledge Adventure
Bionic Commando,PS3,2009,Platform,Capcom
Wanted: Weapons of Fate,X360,2009,Shooter,Warner Bros. Interactive Entertainment
Slime MoriMori Dragon Quest: Shougeki No Shippo Dan,GBA,2003,Adventure,Square Enix
Dishonored,PS4,2015,Action,Bethesda Softworks
Marvel: Ultimate Alliance,PSP,2006,Role-Playing,Activision
NFL Street 2 Unleashed,PSP,2005,Sports,Electronic Arts
Super Robot Taisen EX,SNES,1994,Strategy,Banpresto
FIFA Street 2,PS2,2006,Sports,Electronic Arts
Bottom of the 9th,N64,1999,Sports,Konami Digital Entertainment
Theatrhythm Final Fantasy: Curtain Call,3DS,2014,Misc,Square Enix
Trauma Center: Under the Knife,DS,2005,Simulation,Nintendo
Shin Megami Tensei II,SNES,1994,Role-Playing,Atlus
Xenosaga Episode III: Also sprach Zarathustra,PS2,2006,Role-Playing,Namco Bandai Games
Build-A-Bear Workshop: A Friend Fur All Seasons,Wii,2008,Simulation,Game Factory
Sid Meier's Civilization: Beyond Earth,PC,2014,Strategy,Take-Two Interactive
Need for Speed: The Run,PC,2011,Action,Electronic Arts
Virtua Fighter 3tb,DC,1998,Fighting,Sega
Transformers: Dark of the Moon,PS3,2011,Action,Activision
Mini-Yonku GB: Let's & Go!!,GB,1997,Strategy,ASCII Entertainment
Skylanders SWAP Force,PS4,2013,Platform,Activision
LEGO Batman 2: DC Super Heroes,PSV,2012,Action,Warner Bros. Interactive Entertainment
Rock Band 4,PS4,2015,Misc,Harmonix Music Systems
Left 4 Dead 2,PC,2009,Shooter,Valve Software
The Sims 2: Castaway,PS2,2007,Simulation,Electronic Arts
NCAA Football 07,PSP,2006,Sports,Electronic Arts
The Chronicles of Narnia: Prince Caspian,Wii,2008,Action,Disney Interactive Studios
NBA Live 2003,XB,N/A,Sports,Electronic Arts
Dreamworks Madagascar Kartz,DS,2009,Racing,Activision
My Horse & Me,DS,2007,Sports,Atari
